"id","create_uid/id","create_date","info2","info3","info","devka_ins_id/id","devka_ins_id/auto_install","devka_ins_id/create_uid/id","devka_ins_id/create_date","devka_ins_id/icon","devka_ins_id/inst2_id/id","devka_ins_id/write_uid/id","devka_ins_id/write_date","devka_ins_id/sequence","devka_ins_id/uninst_id/id","devka_ins_id/uninst2_id/id","devka_ins_id/upg_id/id","devka_ins_id/upg2_id/id","devka_uninst_id/id","devka_uninst_id/auto_install","devka_uninst_id/create_uid/id","devka_uninst_id/create_date","devka_uninst_id/icon","devka_uninst_id/inst_id/id","devka_uninst_id/inst2_id/id","devka_uninst_id/write_uid/id","devka_uninst_id/write_date","devka_uninst_id/sequence","devka_uninst_id/uninst2_id/id","devka_uninst_id/upg_id/id","devka_uninst_id/upg2_id/id","devka_upg_id/id","devka_upg_id/auto_install","devka_upg_id/create_uid/id","devka_upg_id/create_date","devka_upg_id/icon","devka_upg_id/inst_id/id","devka_upg_id/inst2_id/id","devka_upg_id/write_uid/id","devka_upg_id/write_date","devka_upg_id/sequence","devka_upg_id/uninst_id/id","devka_upg_id/uninst2_id/id","devka_upg_id/upg2_id/id","devka2_ins_id/id","devka2_ins_id/auto_install","devka2_ins_id/create_uid/id","devka2_ins_id/create_date","devka2_ins_id/icon","devka2_ins_id/inst_id/id","devka2_ins_id/write_uid/id","devka2_ins_id/write_date","devka2_ins_id/sequence","devka2_ins_id/uninst_id/id","devka2_ins_id/uninst2_id/id","devka2_ins_id/upg_id/id","devka2_ins_id/upg2_id/id","devka2_uninst_id/id","devka2_uninst_id/auto_install","devka2_uninst_id/create_uid/id","devka2_uninst_id/create_date","devka2_uninst_id/icon","devka2_uninst_id/inst_id/id","devka2_uninst_id/inst2_id/id","devka2_uninst_id/write_uid/id","devka2_uninst_id/write_date","devka2_uninst_id/sequence","devka2_uninst_id/uninst_id/id","devka2_uninst_id/upg_id/id","devka2_uninst_id/upg2_id/id","devka2_upg_id/id","devka2_upg_id/auto_install","devka2_upg_id/create_uid/id","devka2_upg_id/create_date","devka2_upg_id/icon","devka2_upg_id/inst_id/id","devka2_upg_id/inst2_id/id","devka2_upg_id/write_uid/id","devka2_upg_id/write_date","devka2_upg_id/sequence","devka2_upg_id/uninst_id/id","devka2_upg_id/uninst2_id/id","devka2_upg_id/upg_id/id","write_uid/id","write_date","name","dt_date","bug_free","is_update"
"","","","","","","base.module_web_one2many_list_action","False","base.user_root","2018-03-12 17:39:20","/web_one2many_list_action/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_polymorphic_field","False","base.user_root","2018-03-12 17:39:20","/base/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_search_datetime_completion","False","base.user_root","2018-03-12 17:39:20","/web_search_datetime_completion/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_tree_dynamic_colored_field","False","base.user_root","2018-03-12 17:39:20","/web_tree_dynamic_colored_field/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_tree_many2one_clickable","False","base.user_root","2018-03-12 17:39:20","/web_tree_many2one_clickable/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_widget_color","False","base.user_root","2018-03-12 17:39:20","/web_widget_color/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_widget_one2many_tags","False","base.user_root","2018-03-12 17:39:20","/web_widget_one2many_tags/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_widget_text_markdown","False","base.user_root","2018-03-12 17:39:20","/web_widget_text_markdown/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.module_simbioz_settings","True","base.user_root","2018-03-12 16:41:23","/simbioz_settings/static/description/icon.png","base.module_website_event","","base.user_root","2018-03-15 09:01:45","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.module_base_optional_quick_create","False","base.user_root","2018-03-12 17:39:20","/base_optional_quick_create/static/description/icon.png","base.module_website_event","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
